"index","tag","old_tag_jp","new_tag_jp","old_category_jp","new_category_jp","reason"
"195","nail_polish","マニキュア","マニキュア","身体特徴","化粧・装飾","爪に塗る化粧品"
"353","makeup","メイク","メイク","身体特徴","化粧・装飾","化粧全般"
"380","blood","血","血","身体特徴","状態・質感","身体の状態や付着物"
"485","dark-skinned_male","褐色肌の男性","褐色肌の男性","人物属性","肌","肌色タグとして女性版と統一"
"581","black_nails","黒い爪","黒い爪","身体特徴","化粧・装飾","爪の色・装飾"
"648","wing_collar","ウィングカラー","ウィングカラー","アクセサリー","衣服","衣服の襟"
"671","blue_sailor_collar","青いセーラー襟","青いセーラー襟","アクセサリー","衣服","衣服の襟"
"718","red_nails","赤い爪","赤い爪","身体特徴","化粧・装飾","爪の色・装飾"
"802","white_sailor_collar","白いセーラー襟","白いセーラー襟","アクセサリー","衣服","衣服の襟"
"835","pink_nails","ピンクの爪","ピンクの爪","身体特徴","化粧・装飾","爪の色・装飾"
"929","black_sailor_collar","黒いセーラー襟","黒いセーラー襟","アクセサリー","衣服","衣服の襟"
"954","high_collar","ハイカラー","ハイカラー","アクセサリー","衣服","衣服の襟"
"1083","ribbon-trimmed_sleeves","リボン飾りの袖","リボン飾りの袖","アクセサリー","衣服","袖は衣服の一部"
"1093","blood_on_face","顔に血","顔に血","身体特徴","状態・質感","顔に付着した血"
"1257","tanlines","日焼け跡","日焼け跡","身体特徴","肌","肌に残る日焼けの境界"
"1317","injury","怪我","怪我","身体特徴","暴力・ダメージ","怪我は身体部位ではなくダメージ状態"
"5227","white_nails","白い爪","白い爪","身体特徴","化粧・装飾","爪の色・装飾"
"8512","grey_nails","灰色の爪","灰色の爪","身体特徴","化粧・装飾","爪の色・装飾"
"9928","brown_nails","茶色い爪","茶色い爪","身体特徴","化粧・装飾","爪の色・装飾"
"2179","hibiscus","ハイビスカス","ハイビスカス","小物・道具","自然物","花の種類"
"2197","teapot","ティーポット","ティーポット","飲食物","小物・道具","飲食物ではなく容器・道具"
"2261","white_collar","白い襟","白い襟","アクセサリー","衣服","襟は衣服の構成要素"
"2469","bandaid_on_leg","脚の絆創膏","脚の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"2477","nosebleed","鼻血","鼻血","身体特徴","状態・状況","出血状態"
"2510","dakimakura_(medium)","抱き枕","抱き枕","形式・媒体","小物・道具","抱き枕は物品"
"2512","doughnut","ドーナツ","ドーナツ","小物・道具","飲食物","食べ物"
"2569","watercraft","船舶","船舶","小物・道具","乗り物","水上の乗り物"
"2573","water_bottle","水筒","水筒","飲食物","小物・道具","飲み物ではなく容器"
"2598","playing_card","トランプ","トランプ","テキスト・シンボル","小物・道具","カードは物品"
"2638","peach","桃","桃","小物・道具","飲食物","食べ物"
"2658","cookie","クッキー","クッキー","小物・道具","飲食物","食べ物"
"2754","x-ray","X線表現","X線表現","成人向け/センシティブ","効果・演出","一般的な透視表現"
"2798","cherry","さくらんぼ","さくらんぼ","小物・道具","飲食物","食べ物"
"2808","burger","ハンバーガー","ハンバーガー","小物・道具","飲食物","食べ物"
"2891","watermelon","スイカ","スイカ","小物・道具","飲食物","食べ物"
"2915","beer","ビール","ビール","小物・道具","飲食物","飲み物"
"3003","extra_eyes","追加の目","追加の目","身体特徴","目","目そのものの外見"
"3054","bandaid_on_nose","鼻の絆創膏","鼻の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"3078","bruise","打撲痕","打撲痕","身体特徴","肌","皮膚表面の傷跡・変色"
"3111","no_eyes","目なし","目なし","身体特徴","目","目の有無に関する外見"
"3151","ranguage","乱語","外国語の誤用","テキスト・シンボル","テキスト・シンボル","非母語の誤用を表すタグ"
"3387","linea_alba","リネア・アルバ","腹部白線","キャラクター","肌","腹部に見える解剖学的な線"
"3452","scar_on_chest","胸の傷","胸の傷","身体特徴","肌","皮膚表面の傷跡"
"3457","beer_mug","ビールジョッキ","ビールジョッキ","飲食物","小物・道具","飲み物ではなく容器"
"3617","blood_from_mouth","口から血","口から血","身体特徴","状態・状況","出血状態"
"4558","bandage_over_one_eye","片目の包帯","片目の包帯","身体特徴","状態・状況","負傷と遮蔽の状態"
"6972","blood_from_eyes","目から血","目から血","身体特徴","状態・状況","出血状態であり静的な目の外見ではない"
"12735","blood_on_leg","脚の血","脚の血","身体特徴","状態・状況","皮膚に付着した血液"
"389","scar","傷跡","傷跡","身体特徴","肌","皮膚表面の傷跡"
"722","scar_on_face","顔の傷","顔の傷","身体特徴","肌","皮膚表面の傷跡"
"1306","scar_across_eye","目を横切る傷","目を横切る傷","身体特徴","肌","目の動作ではなく皮膚の傷跡"
"1925","scar_on_cheek","頬の傷","頬の傷","身体特徴","肌","皮膚表面の傷跡"
"3525","scar_on_arm","腕の傷","腕の傷","身体特徴","肌","皮膚表面の傷跡"
"4122","scar_on_nose","鼻の傷","鼻の傷","身体特徴","肌","皮膚表面の傷跡"
"4535","burn_scar","火傷の跡","火傷の跡","身体特徴","肌","皮膚表面の傷跡"
"4704","cross_scar","十字傷","十字傷","身体特徴","肌","皮膚表面の傷跡"
"4854","scar_on_forehead","額の傷","額の傷","身体特徴","肌","皮膚表面の傷跡"
"6540","scar_on_neck","首の傷","首の傷","身体特徴","肌","皮膚表面の傷跡"
"7606","scar_on_stomach","腹の傷","腹の傷","身体特徴","肌","皮膚表面の傷跡"
"7857","multiple_scars","複数の傷跡","複数の傷跡","身体特徴","肌","皮膚表面の傷跡"
"8279","scar_on_leg","脚の傷跡","脚の傷跡","身体特徴","肌","皮膚表面の傷跡"
